RR,SBP
845.0,122.8902587890625
847.0,122.70016479492188
837.0,121.08332824707031
810.0,118.190673828125
823.0,119.06373596191406
816.0,119.82600402832031
800.0,118.76033020019531
777.0,116.75515747070312
795.0,118.7525634765625
803.0,119.24420166015625
812.0,120.66581726074219
792.0,119.82864379882812
796.0,120.29835510253906
802.0,121.96018981933594
802.0,122.88381958007812
780.0,121.18537902832031
772.0,120.88053894042969
790.0,122.7838134765625
789.0,122.99063110351562
777.0,121.71406555175781
768.0,121.130615234375
785.0,123.35887145996094
810.0,123.117431640625
793.0,121.64326477050781
779.0,119.91059875488281
792.0,121.74041748046875
794.0,121.00654602050781
782.0,120.07777404785156
779.0,118.40997314453125
793.0,120.75961303710938
797.0,121.691650390625
794.0,120.97904968261719
798.0,120.02731323242188
806.0,121.31866455078125
795.0,121.61172485351562
799.0,121.29925537109375
779.0,120.32504272460938
821.0,122.61746215820312
833.0,123.93368530273438
824.0,123.67555236816406
810.0,122.09291076660156
840.0,123.85556030273438
846.0,124.76545715332031
825.0,122.97541809082031
792.0,121.23907470703125
819.0,124.4683837890625
838.0,124.32504272460938
834.0,126.50625610351562
814.0,125.407470703125
851.0,128.75657653808594
862.0,129.83128356933594
846.0,128.4931640625
809.0,126.04415893554688
827.0,126.4189453125
833.0,126.357421875
831.0,124.62863159179688
808.0,122.00294494628906
824.0,121.84095764160156
854.0,122.57644653320312
867.0,122.4979248046875
833.0,119.80769348144531
827.0,119.50051879882812
844.0,121.4002685546875
844.0,120.83753967285156
822.0,120.45011901855469
833.0,120.66419982910156
841.0,122.56135559082031
826.0,122.62416076660156
822.0,121.95416259765625
812.0,121.73765563964844
835.0,123.67955017089844
853.0,124.28047180175781
842.0,123.59226989746094
818.0,122.16520690917969
836.0,122.87437438964844
812.0,123.8101806640625
787.0,123.6563720703125
772.0,122.907958984375
769.0,122.96002197265625
793.0,126.35118103027344
811.0,127.4417724609375
800.0,126.47662353515625
774.0,124.62138366699219
785.0,125.88667297363281
812.0,127.71559143066406
838.0,126.4991455078125
818.0,123.62408447265625
802.0,121.76876831054688
819.0,123.66361999511719
818.0,123.5311279296875
796.0,120.95939636230469
786.0,120.60182189941406
794.0,123.19354248046875
806.0,124.58831787109375
805.0,124.31257629394531
815.0,124.63162231445312
840.0,127.12599182128906
848.0,127.498779296875
848.0,125.57243347167969
848.0,124.43505859375
868.0,124.09599304199219
876.0,123.8536376953125
877.0,123.27719116210938
862.0,122.40980529785156
879.0,122.33688354492188
882.0,124.05313110351562
882.0,124.1842041015625
866.0,123.8114013671875
883.0,124.92799377441406
895.0,126.73500061035156
903.0,126.47640991210938
867.0,123.90974426269531
860.0,122.94718933105469
875.0,125.37808227539062
870.0,124.85331726074219
856.0,123.62924194335938
817.0,122.28144836425781
850.0,125.72029113769531
874.0,126.85203552246094
879.0,126.63677978515625
832.0,125.03749084472656
823.0,125.50621032714844
843.0,127.61488342285156
860.0,127.66368103027344
834.0,125.38104248046875
801.0,123.40251159667969
818.0,125.66014099121094
842.0,127.03350830078125
879.0,126.20404052734375
856.0,124.37696838378906
839.0,122.74722290039062
853.0,123.15988159179688
838.0,123.48527526855469
811.0,121.99957275390625
770.0,121.34986877441406
757.0,122.61766052246094
741.0,122.88800048828125
714.0,123.41586303710938
702.0,123.59194946289062
718.0,122.85493469238281
764.0,122.58518981933594
810.0,123.71720886230469
819.0,122.22486877441406
815.0,118.21623229980469
820.0,115.88658142089844
849.0,117.21795654296875
833.0,116.21994018554688
806.0,114.18829345703125
779.0,113.25883483886719
790.0,115.89732360839844
797.0,118.6259765625
774.0,118.61444091796875
755.0,117.65605163574219
744.0,118.62327575683594
780.0,121.91780090332031
834.0,123.61244201660156
829.0,122.71414184570312
819.0,120.41168212890625
808.0,121.25335693359375
785.0,121.5252685546875
767.0,121.88212585449219
754.0,120.11602783203125
748.0,116.75115966796875
781.0,118.11872863769531
792.0,119.57693481445312
794.0,119.3531494140625
782.0,117.36482238769531
782.0,117.27627563476562
807.0,118.83001708984375
828.0,120.3148193359375
824.0,119.01470947265625
808.0,117.43342590332031
831.0,118.21876525878906
849.0,119.47537231445312
846.0,118.79959106445312
845.0,117.02732849121094
823.0,115.144287109375
828.0,115.30549621582031
826.0,116.96365356445312
803.0,117.96208190917969
778.0,117.17213439941406
764.0,117.1282958984375
795.0,121.29769897460938
858.0,125.05696105957031
904.0,126.66960144042969
893.0,125.76048278808594
876.0,123.9493408203125
898.0,124.84333801269531
917.0,124.4449462890625
910.0,121.75225830078125
889.0,118.81866455078125
878.0,116.57945251464844
880.0,118.16462707519531
882.0,117.80223083496094
869.0,117.27874755859375
853.0,115.37864685058594
866.0,117.23774719238281
879.0,118.73269653320312
881.0,118.82196044921875
860.0,117.95375061035156
855.0,116.94700622558594
881.0,119.24324035644531
894.0,120.025146484375
890.0,119.74209594726562
870.0,118.22010803222656
864.0,118.54768371582031
848.0,119.37799072265625
806.0,118.05152893066406
758.0,117.57182312011719
775.0,120.58078002929688
801.0,124.53959655761719
824.0,125.49967956542969
803.0,124.50852966308594
769.0,124.12593078613281
797.0,126.47976684570312
805.0,127.30863952636719
746.0,125.05409240722656
714.0,123.40742492675781
714.0,122.7802734375
707.0,120.18276977539062
707.0,119.26789855957031
724.0,121.03582763671875
743.0,121.42640686035156
745.0,119.45591735839844
726.0,116.64750671386719
733.0,116.67045593261719
738.0,119.08572387695312
753.0,120.54408264160156
743.0,119.68058776855469
733.0,118.44891357421875
756.0,120.53854370117188
775.0,123.27218627929688
793.0,123.56037902832031
780.0,121.91999816894531
758.0,121.19012451171875
784.0,122.55819702148438
797.0,122.96388244628906
797.0,121.49249267578125
779.0,119.52462768554688
800.0,120.12747192382812
820.0,121.21519470214844
817.0,120.25927734375
799.0,117.73344421386719
828.0,118.62727355957031
817.0,118.89559936523438
